time_normalized,thermal_force_normalized,fourier_response_normalized,cattaneo_reference_normalized,cattaneo_numeric_normalized,linear_phi_response_normalized,nonlinear_C,nonlinear_Phi,nonlinear_Pi,trace_source_nonnegative,trace_observable_normalized,extended_energy_normalized,actual_delta_normalized,predicted_delta_normalized,ledger_closure_relative
12.540000000000001,0.01977667137792032,0.01977667137792032,0.1660120633294078,0.16601202681079966,0.34396527667680327,0.14035105836115494,0.36887386227997404,-0.08133650173365613,0.5345035879572713,0.5494139148216048,0.06342966863941905,-6.52851793334075e-07,-6.52851788883075e-07,6.8177800840332516e-09
12.55,0.012277652291377367,0.01227765229137559,0.1586956932120855,0.15869565769296098,0.3429443502697745,0.1401343699159644,0.3680501997247427,-0.08339501092055038,0.5359560676764669,0.5519324148464111,0.06329756564328622,-6.680754862653515e-07,-6.68075481766337e-07,6.734290718522482e-09
12.56,0.0047779425901285115,0.0047779425901285115,0.15137039650386527,0.15137036198622061,0.34190413333346803,0.13991193560786383,0.3672059821955844,-0.08544747809760261,0.5371151781403312,0.5541738196817149,0.06316243405670538,-6.831378605159921e-07,-6.831378559422083e-07,6.695257433535425e-09
12.57,-0.0027220358691312308,-0.0027220358691312308,0.14403658525075203,0.14403655173653054,0.3408446843798115,0.13968376219163628,0.36634127066345806,-0.0874937932682842,0.5382742886041955,0.5564152245170187,0.06302430652992881,-6.980350789609346e-07,-6.980350743106499e-07,6.6118194515022455e-09
12.58,-0.010221861214591057,-0.010221861214591057,0.13669467197769672,0.1366946394687836,0.33976606300252965,0.1394498567789707,0.3654561271940243,-0.08953384748867547,0.5394333990680599,0.5586566293523225,0.06288321647526651,-7.127633580156223e-07,-7.127633533400766e-07,6.376314000961205e-09
12.59,-0.017721111583052777,-0.017721111583051,0.12934506966538692,0.12934503816360904,0.3386683298737908,0.13921022683849002,0.36455061493711205,-0.09156753286940458,0.5405925095319242,0.5608980341876263,0.0627391980562418,-7.273189690931714e-07,-7.273189643693957e-07,6.184578954136145e-09
12.600000000000001,-0.025219365143660497,-0.025219365143660497,0.12198819172700953,0.12198816123414107,0.3375515467407932,0.1389648801957504,0.3636247981161659,-0.09359474257716087,0.5417516199957887,0.5631394390229305,0.0625922861764893,-7.41698239672961e-07,-7.416982348788387e-07,6.030989222772149e-09
12.610000000000001,-0.03271620012162674,-0.032716200121628514,0.11462445198501403,0.11462442250276973,0.33641577642229425,0.13871382503321866,0.3626787420176775,-0.09561537083578395,0.5426108442636379,0.5650911466753795,0.06244251646840102,-7.558975545704505e-07,-7.558975497289801e-07,5.857043090658545e-09
12.620000000000001,-0.04021119482196424,-0.04021119482196424,0.10725426464781934,0.10725423617785579,0.33526108280507505,0.1384570698902237,0.3617125129806129,-0.09762931292693364,0.5434700685314873,0.5670428543278285,0.06228992528152904,-7.69913357283325e-07,-7.699133523673386e-07,5.7238092161439095e-09
12.63,-0.04770392765319554,-0.04770392765319554,0.09987804428651632,0.09987801683043673,0.33408753084034665,0.13819462366288301,0.36072617838582915,-0.09963646519034443,0.5443292927993365,0.5689945619802776,0.06213454967074874,-7.837421509837572e-07,-7.837421460019851e-07,5.586917824066284e-09
