country_code,year,EG.USE.PCAP.KG.OE,NY.GDP.PCAP.KD,NY.GDP.PCAP.PP.KD,SP.POP.TOTL
KM,2014,,1342.3295858321,3403.41291459985,711503.0
KM,2015,,1329.37048235986,3370.5557232032,726682.0
KM,2016,,1345.6261652831,3411.77123523582,741741.0
KM,2017,,1369.41180275963,3472.07858942366,756669.0
KM,2018,,1391.84570443267,3528.95868167877,771590.0
KM,2019,,1389.36488014859,3522.66866952646,786578.0
KM,2020,,1359.7070891825,3447.47274904772,802163.0
KM,2021,,1360.32663361462,3449.0435745318,818174.0
KM,2022,,1366.9513495529,3465.8402271705,834188.0
KM,2023,,1383.64201759575,3508.15862331545,850387.0
KM,2024,,1402.52614298112,3556.0384263801,866628.0
KN,2000,,14039.0281125333,19840.5800645267,45248.0
KN,2001,,14610.9099610508,20648.7889741472,45761.0
KN,2002,,14727.3908829316,20813.4050029806,46020.0
KN,2003,,14100.3067967234,19927.1818314137,46176.0
KN,2008,,18325.7612670282,25898.7823620981,46835.0
KN,2009,,17671.2547069735,24973.8045286303,46916.0
KN,2010,,17688.0690103409,24997.5672513428,46846.0
KN,2011,,17958.6813977053,25380.0087348215,46886.0
KN,2012,,17770.4963640576,25114.0572603244,47033.0
KN,2013,,18773.8926898397,26532.1016561725,47069.0
KN,2014,,20187.8061975481,28530.3072249013,47089.0
KN,2015,,20328.8003530109,28729.566447667,47087.0
KN,2016,,21133.6575914414,29867.0265589791,47075.0
KN,2017,,21191.6047083703,29948.9200065682,47050.0
KN,2018,,21635.4972146482,30576.2486749244,47008.0
KN,2019,,22297.7644995701,31512.1943105684,46952.0
KN,2020,,18918.8263456611,26736.9283563771,46870.0
KN,2021,,19031.8211910603,26896.6177065978,46763.0
KN,2022,,21050.758653729,29749.8700864823,46709.0
KN,2023,,21664.0333984701,30616.577281386,46758.0
KN,2024,,21692.2406392872,30656.4410109367,46843.0
KW,2024,,24140.3257964584,46664.2195116056,4897263.0
KY,2006,,96066.6290832355,92213.0760037266,48232.0
KY,2007,,96202.7379415493,92343.7250815203,49687.0
KY,2008,,93115.3168416314,89380.1507450505,51151.0
KY,2009,,84001.4215657607,80631.8442229627,52618.0
KY,2010,,79483.0972813604,76294.7650038522,54099.0
KY,2011,,78233.0187551876,75094.8312990407,55606.0
KY,2012,,77074.3890872511,73982.6781335848,57136.0
KY,2013,,76038.879554035,72988.7063433775,58655.0
KY,2014,,76104.6215727416,73051.811230324,60160.0
KY,2015,,76379.2095108681,73315.3845299162,61642.0
KY,2016,,77031.8643873625,73941.8592413192,63100.0
KY,2017,,77717.1752058822,74599.6799559357,64535.0
KY,2018,,79305.769672996,76124.5505976249,65941.0
KY,2019,,80714.5718222987,77476.8409913609,67327.0
KY,2020,,75199.6446006284,72183.1359045895,68684.0
KY,2021,,77259.6331096058,74160.4914000191,70108.0
KY,2022,,79942.1196290248,76735.3744333338,71591.0
KY,2023,,82906.5454943954,79580.8872845653,73038.0
KY,2024,,84381.4731440521,80996.6506641666,74457.0
KZ,2024,,11872.7842626298,35973.9633287017,20592571.0
LA,2024,,2721.07810663122,8600.3245466568,7769819.0
LB,2024,,5391.22914209501,10469.2210966932,5805962.0
LC,2000,,9198.93894352203,18638.117705755,158616.0
LC,2001,,8795.54582090658,17820.7964312951,160237.0
LC,2002,,8755.45939353129,17739.5766779723,161641.0
LC,2003,,9054.06778374517,18344.5919258071,162976.0
LC,2008,,10583.4310172598,21443.2592977841,168808.0
LC,2009,,10219.8024011561,20706.505527623,169869.0
LC,2010,,10191.3146827694,20648.7861045765,170906.0
LC,2011,,10576.8979743596,21430.0225948015,171801.0
LC,2012,,10517.2777635533,21309.2251296295,172587.0
LC,2013,,10279.4155096001,20827.2886025849,173369.0
LC,2014,,10369.9382566513,21010.6981919895,174138.0
LC,2015,,10334.9860823918,20939.8810312364,174905.0
LC,2016,,10644.1612913407,21566.3058799575,175646.0
LC,2017,,10960.4843512477,22207.2131041263,176342.0
LC,2018,,11233.8883578457,22761.1613461447,177017.0
LC,2019,,11077.9479823807,22445.2080507874,177661.0
LC,2020,,8512.8183987353,17247.9578674753,178250.0
LC,2021,,9447.30059244639,19141.3272253168,178522.0
LC,2022,,11258.6110790564,22811.2524480383,178781.0
LC,2023,,11665.6826047818,23636.0265940253,179285.0
LC,2024,,12190.7970890156,24699.9694711589,179744.0
LK,2024,,4198.74513727898,13793.0669827677,21916000.0
LR,2000,,754.850917360951,1868.17975587618,2928117.0
LR,2001,,754.422355762017,1867.11910921753,3015338.0
LR,2002,,762.716393927064,1887.64601570733,3094782.0
LR,2003,,528.567395543421,1308.15090140274,3119532.0
LR,2004,,535.995882066218,1326.53565502695,3156892.0
LR,2005,,539.665378841936,1335.61728880785,3301015.0
LR,2006,,551.377446611852,1364.60347323709,3490787.0
LR,2007,,574.609394348543,1422.10019670004,3669050.0
LR,2008,,591.185378141907,1463.12408187297,3821003.0
LR,2009,,603.256211077605,1492.99817384053,3943028.0
LR,2010,,621.783295071575,1538.85083488512,4058890.0
LR,2011,,646.908727016597,1601.03374045996,4221178.0
LR,2012,,674.360011422232,1668.97289588776,4373043.0
LR,2013,,717.007280358975,1774.5205777394,4470239.0
LR,2014,,707.157694930142,1750.1438489328,4564293.0
LR,2015,,692.590082351257,1714.09047960464,4659431.0
LR,2016,,668.031513175601,1653.31050211233,4755608.0
LR,2017,,671.260899835355,1661.30290782171,4848925.0
LR,2018,,665.875439637137,1647.97443793846,4944726.0
LR,2019,,636.699384824869,1575.76665001238,5043721.0
LR,2020,,605.025475431411,1497.37692436272,5149463.0
LR,2021,,621.927983063426,1539.20892304674,5259323.0
LR,2022,,638.005183858289,1578.99837069175,5373294.0
LR,2023,,653.329188343162,1616.92373356695,5493031.0
LR,2024,,665.101337624192,1646.05861366601,5612817.0
LS,2000,,725.263668707773,1932.15793223415,2003913.0
LS,2001,,752.243212493971,2004.03350215955,2000853.0
LS,2002,,760.033443180306,2024.78727304864,1994679.0
LS,2003,,798.540500554454,2127.37302160132,1985059.0
LS,2008,,971.881366821351,2589.16635854686,1966541.0
LS,2009,,952.747929746529,2538.19341751854,1980883.0
LS,2010,,995.233432451681,2651.37804898226,1996251.0
LS,2011,,1031.99721564343,2749.31958166573,2014009.0
LS,2012,,1086.39034816283,2894.22705048142,2034354.0
LS,2013,,1093.95323489272,2914.37515966739,2056504.0
LS,2014,,1100.04993684215,2930.61724036206,2080089.0
LS,2015,,1121.19851342518,2986.95866729879,2104611.0
LS,2016,,1147.58748801671,3057.26091568162,2130422.0
LS,2017,,1097.82166812752,2924.68096193272,2157110.0
LS,2018,,1068.44462913373,2846.41828124649,2183603.0
LS,2019,,1040.99351014117,2773.28639887236,2209405.0
LS,2020,,944.834128375429,2517.11044486593,2235727.0
LS,2021,,955.221236301503,2544.78249551214,2261542.0
LS,2022,,967.51928598325,2577.54544127769,2286110.0
LS,2023,,973.116561960912,2592.4570129526,2311472.0
LS,2024,,1012.59379523386,2697.62738436647,2337423.0
LY,2024,,7696.0807819319,12583.8338726816,7381023.0
MA,2024,,3516.15405273438,9162.7470703125,38081173.0
MD,2024,,3855.56940382925,16393.8633257184,2402306.0
ME,2000,,4391.36753581801,14452.2161423496,604950.0
ME,2001,,4421.83790075206,14552.4956785923,607389.0
ME,2002,,4488.00506787032,14770.255224547,609828.0
ME,2003,,4581.10485010973,15076.6513903781,612267.0
ME,2004,,4775.39661599401,15716.0755725572,613353.0
ME,2024,,8540.00427762252,28105.5927726624,623525.0
MG,2024,,453.957809653992,1659.15030770194,31964956.0
MH,2000,,3040.59677355737,3772.69913192999,50706.0
MH,2001,,3224.7911898754,4001.24312059454,51123.0
MH,2002,,3322.41127856101,4122.36777186234,51425.0
MH,2003,,3256.97244330835,4041.17284358405,51639.0
MH,2008,,3146.26177205458,3903.80571323423,52030.0
MH,2009,,3262.26955535477,4047.74537243531,52019.0
MH,2010,,3441.31888402121,4269.9054604506,52044.0
MH,2011,,3433.06297801838,4259.66173142969,51907.0
MH,2012,,3420.91444796671,4244.58812838612,51419.0
MH,2013,,3602.92811901896,4470.42630092843,50681.0
MH,2014,,3620.77275283155,4492.56749211821,49796.0
MH,2015,,3764.34426229508,4670.70755785577,48800.0
MH,2016,,3946.8444109078,4897.14934002038,47709.0
MH,2017,,4190.93468589482,5200.01066532485,46529.0
MH,2018,,4542.34293916308,5636.02954937672,45285.0
MH,2019,,5162.81500670348,6405.89632387105,44007.0
MH,2020,,5172.57528216176,6418.00663822416,42706.0
MH,2021,,5455.31704015278,6768.82579129624,41367.0
MH,2022,,5591.46393193103,6937.75357050514,40077.0
MH,2023,,5460.11795915213,6774.78265578378,38827.0
MH,2024,,5832.53435602429,7236.8679376649,37548.0
MK,2024,,6628.84686594032,24203.1855800189,1824359.0
ML,2000,,682.497420451512,2187.71894207161,11559290.0
ML,2001,,766.960343250964,2458.46155673065,11912158.0
ML,2002,,766.073669039402,2455.61935702417,12288050.0
ML,2003,,814.808466518784,2611.8368552722,12684955.0
ML,2004,,800.501816705242,2565.9774456147,13102409.0
ML,2005,,794.373328212082,2546.33281405861,13538647.0
ML,2006,,797.10053288464,2555.07476258805,13990139.0
ML,2007,,784.893915013531,2515.94692366143,14457775.0
ML,2008,,787.156518982091,2523.19961270039,14940782.0
ML,2009,,803.486738930068,2575.54549773648,15435539.0
ML,2010,,821.181286586904,2632.2646821909,15945198.0
ML,2011,,818.399030997125,2623.34627008698,16469049.0
ML,2012,,786.323471337187,2520.52931086804,16957033.0
ML,2013,,788.819448208696,2528.5300676726,17459615.0
ML,2014,,813.97566128646,2609.16733048395,18020267.0
ML,2015,,838.11986940103,2686.56065073799,18593022.0
ML,2016,,860.75307554569,2759.11051293341,19191289.0
ML,2017,,878.561348378099,2816.19423901587,19813011.0
ML,2018,,892.978322787306,2862.40728987476,20442030.0
ML,2019,,909.751069706998,2916.17167791084,21068405.0
ML,2020,,872.389426815267,2796.41038444386,21713836.0
ML,2021,,872.332509422409,2796.22793795431,22388630.0
ML,2022,,877.817842434642,2813.81095962565,23072640.0
ML,2023,,892.689219532429,2861.48058063314,23769127.0
ML,2024,,910.300376300627,2917.93245883671,24478595.0
MM,2024,,1158.47928097728,5276.29433987853,54500091.0
MN,2024,,4626.79609644243,16842.6505873797,3524788.0
MO,2000,,31772.6302531656,55994.760697993,430600.0
MO,2001,,32441.6760183581,57173.8590987063,433900.0
MO,2002,,34967.8914561813,61625.9560068114,438400.0
MO,2003,,38581.6976189322,67994.777526459,443600.0
MO,2004,,47665.9330386643,84004.4558061302,454700.0
MO,2005,,49470.940295748,87185.5254441553,473500.0
MO,2006,,53240.2045750276,93828.3198758417,498900.0
MO,2007,,58376.1176047275,102879.639164559,520900.0
MO,2008,,58146.3285846714,102474.668562926,540700.0
MO,2009,,59528.8350159491,104911.140336462,535000.0
