recipient_name,recipient_role,sec_cik,sec_ticker,sec_title,fiscal_year,subaward_rows_primary_year,subaward_amount_primary_year_usd,prime_transaction_rows_primary_year,prime_transaction_amount_primary_year_usd,net_income_usd,operating_cash_flow_usd,capex_raw_usd,debt_proceeds_usd,debt_repayments_raw_usd,common_dividends_raw_usd,cash_balance_usd,capex_outflow_scale_usd,debt_repayment_scale_usd,debt_net_issuance_scale_usd
"GARTNER, INC.",downstream_subaward,0000749251,IT,GARTNER INC,2020,3,406844.26,0,0.0,122456000.0,471158000.0,,0.0,570972000.0,,538908000.0,,570972000.0,-570972000.0
"GARTNER, INC.",downstream_subaward,0000749251,IT,GARTNER INC,2021,3,406844.26,0,0.0,233290000.0,565436000.0,,5000000.0,102579000.0,,156368000.0,,102579000.0,-97579000.0
"GARTNER, INC.",downstream_subaward,0000749251,IT,GARTNER INC,2022,3,406844.26,0,0.0,266745000.0,903278000.0,,2000000000.0,2058469000.0,,280836000.0,,2058469000.0,-58469000.0
"GARTNER, INC.",downstream_subaward,0000749251,IT,GARTNER INC,2023,3,406844.26,0,0.0,793560000.0,1312470000.0,,600000000.0,107915000.0,,712583000.0,,107915000.0,492085000.0
"GARTNER, INC.",downstream_subaward,0000749251,IT,GARTNER INC,2024,3,406844.26,0,0.0,807799000.0,1101422000.0,,,5931000.0,,756493000.0,,5931000.0,
GRAHAM CORP,downstream_subaward,0000716314,GHM,GRAHAM CORP,2011,0,0.0,0,0.0,6361000.0,30270000.0,1003000.0,822000.0,861000.0,788000.0,5150000.0,1003000.0,861000.0,-39000.0
GRAHAM CORP,downstream_subaward,0000716314,GHM,GRAHAM CORP,2012,0,0.0,0,0.0,5874000.0,-10369000.0,1979000.0,,,790000.0,4530000.0,1979000.0,,
GRAHAM CORP,downstream_subaward,0000716314,GHM,GRAHAM CORP,2014,0,0.0,0,0.0,10553000.0,,3243000.0,,,793000.0,19565000.0,3243000.0,,
GRAHAM CORP,downstream_subaward,0000716314,GHM,GRAHAM CORP,2015,0,0.0,0,0.0,11148000.0,,1655000.0,,,899000.0,25189000.0,1655000.0,,
GRAHAM CORP,downstream_subaward,0000716314,GHM,GRAHAM CORP,2016,0,0.0,0,0.0,10145000.0,,5263000.0,,,1308000.0,24194000.0,5263000.0,,
GRAHAM CORP,downstream_subaward,0000716314,GHM,GRAHAM CORP,2017,0,0.0,0,0.0,14735000.0,,5300000.0,,,2026000.0,32146000.0,5300000.0,,
GRAHAM CORP,downstream_subaward,0000716314,GHM,GRAHAM CORP,2018,0,0.0,0,0.0,6131000.0,,1153000.0,,,3296000.0,27271000.0,1153000.0,,
GRAHAM CORP,downstream_subaward,0000716314,GHM,GRAHAM CORP,2019,0,0.0,0,0.0,5023000.0,12389000.0,325000.0,,,3492000.0,40456000.0,325000.0,,
GRAHAM CORP,downstream_subaward,0000716314,GHM,GRAHAM CORP,2020,0,0.0,0,0.0,-9844000.0,8511000.0,2051000.0,,,3517000.0,15021000.0,2051000.0,,
GRAHAM CORP,downstream_subaward,0000716314,GHM,GRAHAM CORP,2021,0,0.0,0,0.0,-308000.0,7917000.0,2138000.0,4599000.0,4599000.0,3834000.0,32955000.0,2138000.0,4599000.0,0.0
GRAHAM CORP,downstream_subaward,0000716314,GHM,GRAHAM CORP,2022,0,0.0,0,0.0,1872000.0,1239000.0,2417000.0,0.0,0.0,4250000.0,59532000.0,2417000.0,0.0,0.0
GRAHAM CORP,downstream_subaward,0000716314,GHM,GRAHAM CORP,2023,0,0.0,0,0.0,2374000.0,-1722000.0,2158000.0,4599000.0,4599000.0,4391000.0,14741000.0,2158000.0,4599000.0,0.0
GRAHAM CORP,downstream_subaward,0000716314,GHM,GRAHAM CORP,2024,0,0.0,0,0.0,-8773000.0,-2219000.0,2324000.0,58250000.0,39750000.0,3523000.0,18257000.0,2324000.0,39750000.0,18500000.0
ILLINOIS TOOL WORKS INC,downstream_subaward,0000049826,ITW,ILLINOIS TOOL WORKS INC,2010,0,0.0,0,0.0,,2222224000.0,362312000.0,,,598690000.0,827524000.0,362312000.0,,
ILLINOIS TOOL WORKS INC,downstream_subaward,0000049826,ITW,ILLINOIS TOOL WORKS INC,2011,0,0.0,0,0.0,,2167552000.0,255739000.0,,,619681000.0,860987000.0,255739000.0,,
ILLINOIS TOOL WORKS INC,downstream_subaward,0000049826,ITW,ILLINOIS TOOL WORKS INC,2012,0,0.0,0,0.0,,1488000000.0,288000000.0,,,636000000.0,1346000000.0,288000000.0,,
ILLINOIS TOOL WORKS INC,downstream_subaward,0000049826,ITW,ILLINOIS TOOL WORKS INC,2013,0,0.0,0,0.0,,1956000000.0,353000000.0,,,680000000.0,1186000000.0,353000000.0,,
ILLINOIS TOOL WORKS INC,downstream_subaward,0000049826,ITW,ILLINOIS TOOL WORKS INC,2014,0,0.0,0,0.0,,2072000000.0,382000000.0,,,865000000.0,1178000000.0,382000000.0,,
ILLINOIS TOOL WORKS INC,downstream_subaward,0000049826,ITW,ILLINOIS TOOL WORKS INC,2015,0,0.0,0,0.0,,2528000000.0,368000000.0,,,528000000.0,2779000000.0,368000000.0,,
ILLINOIS TOOL WORKS INC,downstream_subaward,0000049826,ITW,ILLINOIS TOOL WORKS INC,2016,0,0.0,0,0.0,,1616000000.0,361000000.0,,,711000000.0,3618000000.0,361000000.0,,
