endpoint,record_date,classification_desc,amount_field,amount_usd,fiscal_year
mts_table_5,2024-09-30,Department of the Navy,current_fytd_net_outly_amt,463240059.16,2024
mts_table_5,2024-09-30,Department of the Navy,current_fytd_net_outly_amt,-76267094.44,2024
mts_table_5,2024-09-30,Department of the Treasury:,,,2024
mts_table_5,2024-09-30,Department-Wide Programs,current_fytd_net_outly_amt,2895029632.54,2024
mts_table_5,2024-09-30,Departmental Administration,current_fytd_net_outly_amt,394598021.71,2024
mts_table_5,2024-09-30,Departmental Administration:,,,2024
mts_table_5,2024-09-30,Departmental Management,current_fytd_net_outly_amt,732194146.07,2024
mts_table_5,2024-09-30,Departmental Management,current_fytd_net_outly_amt,690687904.6,2024
mts_table_5,2024-09-30,Departmental Management,current_fytd_net_outly_amt,16399036717.22,2024
mts_table_5,2024-09-30,Departmental Management and Operations,current_fytd_net_outly_amt,2665754958.45,2024
mts_table_5,2024-09-30,Departmental Offices:,,,2024
mts_table_5,2024-09-30,Departmental Offices:,,,2024
mts_table_5,2024-09-30,Deposit Insurance Fund,current_fytd_net_outly_amt,37102073524.99,2024
mts_table_5,2024-09-30,Development Assistance Program,current_fytd_net_outly_amt,3551017216.8,2024
mts_table_5,2024-09-30,Diplomatic and Consular Programs,current_fytd_net_outly_amt,10453386246.49,2024
mts_table_5,2024-09-30,Disaster Loans Program,current_fytd_net_outly_amt,34145925830.8,2024
mts_table_5,2024-09-30,Disaster Relief,current_fytd_net_outly_amt,33274635423.36,2024
mts_table_5,2024-09-30,District of Columbia:,,,2024
mts_table_5,2024-09-30,Domestic Nuclear Detection Office,current_fytd_net_outly_amt,419871960.6,2024
mts_table_5,2024-09-30,Drug Enforcement Administration,current_fytd_net_outly_amt,3239775504.09,2024
mts_table_5,2024-09-30,ESF - Economic Stabilization Program,current_fytd_net_outly_amt,10433988.2,2024
mts_table_5,2024-09-30,Economic Development Administration,current_fytd_net_outly_amt,1136807404.03,2024
mts_table_5,2024-09-30,Economic Support Fund,current_fytd_net_outly_amt,9460920891.33,2024
mts_table_5,2024-09-30,Education Improvement Programs,current_fytd_net_outly_amt,5972517831.76,2024
mts_table_5,2024-09-30,Education and Human Resources,current_fytd_net_outly_amt,1348316762.49,2024
mts_table_5,2024-09-30,Educational Benefits,current_fytd_net_outly_amt,159517974.3,2024
mts_table_5,2024-09-30,Educational Benefits Fund,current_fytd_net_outly_amt,-23303067.41,2024
mts_table_5,2024-09-30,Educational and Cultural Exchange Programs,current_fytd_net_outly_amt,811329156.72,2024
mts_table_5,2024-09-30,"Embassy Security, Construction, and Maintenance",current_fytd_net_outly_amt,1810521202.82,2024
mts_table_5,2024-09-30,Emergency Capital Investment Program,current_fytd_net_outly_amt,321211105.97,2024
mts_table_5,2024-09-30,Emergency Rental Assistance,current_fytd_net_outly_amt,-385454162.29,2024
mts_table_5,2024-09-30,Employees Life Insurance Fund,current_fytd_net_outly_amt,-2438996210.49,2024
mts_table_5,2024-09-30,Employees and Retired Employees Health Benefits Fund,current_fytd_net_outly_amt,1803368658.51,2024
mts_table_5,2024-09-30,"Employer Share, Employee Retirement:",,,2024
mts_table_5,2024-09-30,Employment and Training Administration:,,,2024
